Tesla vs Others,CAR MAKE,CAR MODEL,CAR MAKE AND MODEL,Year Month,Reset,SalesO,# of Auto Makers,# of Car Models,Zero Axis,Sales Tesla,Sales Non Tesla,% Sales,X,Y,Car Type1,Number of Records,Month,Sales,Year,Year Month (copy)
NON TESLA,PORSCHE, 918 SPYDER,PORSCHE 918 SPYDER,4/1/2015,Reset,28,1,1,0,,28,,28,0,Hybrid,1,APR,28,2015,4
NON TESLA,MITSUBISHI, I-MIEV,MITSUBISHI I-MIEV,4/1/2015,Reset,16,1,1,0,,16,,16,0,Fully Electric,1,APR,16,2015,4
NON TESLA,HONDA, ACCORD PHV,HONDA ACCORD PHV,4/1/2015,Reset,5,1,1,0,,5,,5,0,Hybrid,1,APR,5,2015,4
NON TESLA,OTHER,,OTHER,4/1/2015,Reset,4,1,1,0,,4,,4,0,Hybrid,1,APR,4,2015,4
TESLA,TESLA, MODEL S,TESLA MODEL S,4/1/2016,Reset,800,1,1,0,800,,100,800,0,Fully Electric,1,APR,800,2016,4
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,4/1/2016,Reset,1983,1,1,0,,1983,,1983,0,Hybrid,1,APR,1983,2016,4
TESLA,TESLA, MODEL X,TESLA MODEL X,4/1/2016,Reset,795,1,1,0,795,,100,795,0,Fully Electric,1,APR,795,2016,4
NON TESLA,FORD, FUSION ENERGI,FORD FUSION ENERGI,4/1/2016,Reset,1331,1,1,0,,1331,,1331,0,Hybrid,1,APR,1331,2016,4
NON TESLA,NISSAN, LEAF,NISSAN LEAF,4/1/2016,Reset,787,1,1,0,,787,,787,0,Fully Electric,1,APR,787,2016,4
NON TESLA,FORD, C-MAX ENERGI,FORD C-MAX ENERGI,4/1/2016,Reset,607,1,1,0,,607,,607,0,Hybrid,1,APR,607,2016,4
NON TESLA,BMW, I3 (BEV + REX),BMW I3 (BEV + REX),4/1/2016,Reset,814,1,1,0,,814,,814,0,Fully Electric,1,APR,814,2016,4
NON TESLA,BMW, X5 XDRIVE 40E,BMW X5 XDRIVE 40E,4/1/2016,Reset,655,1,1,0,,655,,655,0,Hybrid,1,APR,655,2016,4
NON TESLA,FIAT, 500E,FIAT 500E,4/1/2016,Reset,395,1,1,0,,395,,395,0,Fully Electric,1,APR,395,2016,4
NON TESLA,AUDI, A3 SPORTBACK E-TRON,AUDI A3 SPORTBACK E-TRON,4/1/2016,Reset,326,1,1,0,,326,,326,0,Hybrid,1,APR,326,2016,4
NON TESLA,VW, E-GOLF,VW E-GOLF,4/1/2016,Reset,326,1,1,0,,326,,326,0,Fully Electric,1,APR,326,2016,4
NON TESLA,HYUNDAI, SONATA PHV,HYUNDAI SONATA PHV,4/1/2016,Reset,250,1,1,0,,250,,250,0,Hybrid,1,APR,250,2016,4
NON TESLA,CHEVROLET, SPARK EV,CHEVROLET SPARK EV,4/1/2016,Reset,419,1,1,0,,419,,419,0,Fully Electric,1,APR,419,2016,4
NON TESLA,PORSCHE, CAYENNE S-E,PORSCHE CAYENNE S-E,4/1/2016,Reset,237,1,1,0,,237,,237,0,Hybrid,1,APR,237,2016,4
NON TESLA,VOLVO, XC90,VOLVO XC90,4/1/2016,Reset,150,1,1,0,,150,,150,0,Hybrid,1,APR,150,2016,4
NON TESLA,KIA, SOUL EV,KIA SOUL EV,4/1/2016,Reset,139,1,1,0,,139,,139,0,Fully Electric,1,APR,139,2016,4
NON TESLA,BMW, I8,BMW I8,4/1/2016,Reset,130,1,1,0,,130,,130,0,Hybrid,1,APR,130,2016,4
NON TESLA,FORD, FOCUS ELECTRIC,FORD FOCUS ELECTRIC,4/1/2016,Reset,81,1,1,0,,81,,81,0,Fully Electric,1,APR,81,2016,4
NON TESLA,BMW, 330E,BMW 330E,4/1/2016,Reset,25,1,1,0,,25,,25,0,Hybrid,1,APR,25,2016,4
NON TESLA,SMART, ED,SMART ED,4/1/2016,Reset,66,1,1,0,,66,,66,0,Fully Electric,1,APR,66,2016,4
NON TESLA,MERCEDES, B250E,MERCEDES B250E,4/1/2016,Reset,56,1,1,0,,56,,56,0,Fully Electric,1,APR,56,2016,4
NON TESLA,MERCEDES, S550 PHV,MERCEDES S550 PHV,4/1/2016,Reset,29,1,1,0,,29,,29,0,Fully Electric,1,APR,29,2016,4
NON TESLA,CADILLAC, ELR,CADILLAC ELR,4/1/2016,Reset,95,1,1,0,,95,,95,0,Hybrid,1,APR,95,2016,4
NON TESLA,PORSCHE, PANAMERA S-E,PORSCHE PANAMERA S-E,4/1/2016,Reset,25,1,1,0,,25,,25,0,Hybrid,1,APR,25,2016,4
NON TESLA,MITSUBISHI, I-MIEV,MITSUBISHI I-MIEV,4/1/2016,Reset,6,1,1,0,,6,,6,0,Fully Electric,1,APR,6,2016,4
NON TESLA,TOYOTA, PRIUS PRIME,TOYOTA PRIUS PRIME,4/1/2016,Reset,4,1,1,0,,4,,4,0,Hybrid,1,APR,4,2016,4
NON TESLA,OTHER,,OTHER,4/1/2016,Reset,0,1,1,0,,0,,0,0,Hybrid,1,APR,0,2016,4
TESLA,TESLA, MODEL S,TESLA MODEL S,4/1/2017,Reset,1125,1,1,0,1125,,100,1125,0,Fully Electric,1,APR,1125,2017,4
NON TESLA,CHEVROLET, BOLT EV,CHEVROLET BOLT EV,4/1/2017,Reset,1292,1,1,0,,1292,,1292,0,Fully Electric,1,APR,1292,2017,4
TESLA,TESLA, MODEL X,TESLA MODEL X,4/1/2017,Reset,715,1,1,0,715,,100,715,0,Fully Electric,1,APR,715,2017,4
NON TESLA,TOYOTA, PRIUS PRIME,TOYOTA PRIUS PRIME,4/1/2017,Reset,1819,1,1,0,,1819,,1819,0,Hybrid,1,APR,1819,2017,4
NON TESLA,CHEVROLET, VOLT,CHEVROLET VOLT,4/1/2017,Reset,1807,1,1,0,,1807,,1807,0,Hybrid,1,APR,1807,2017,4
NON TESLA,NISSAN, LEAF,NISSAN LEAF,4/1/2017,Reset,1063,1,1,0,,1063,,1063,0,Fully Electric,1,APR,1063,2017,4
NON TESLA,FORD, FUSION ENERGI,FORD FUSION ENERGI,4/1/2017,Reset,905,1,1,0,,905,,905,0,Hybrid,1,APR,905,2017,4
NON TESLA,FORD, C-MAX ENERGI,FORD C-MAX ENERGI,4/1/2017,Reset,720,1,1,0,,720,,720,0,Hybrid,1,APR,720,2017,4
NON TESLA,BMW, I3 (BEV + REX),BMW I3 (BEV + REX),4/1/2017,Reset,516,1,1,0,,516,,516,0,Fully Electric,1,APR,516,2017,4
NON TESLA,FIAT, 500E,FIAT 500E,4/1/2017,Reset,541,1,1,0,,541,,541,0,Fully Electric,1,APR,541,2017,4
NON TESLA,BMW, X5 XDRIVE 40E,BMW X5 XDRIVE 40E,4/1/2017,Reset,291,1,1,0,,291,,291,0,Hybrid,1,APR,291,2017,4
NON TESLA,CHRYSLER, PACIFICA HYBRID,CHRYSLER PACIFICA HYBRID,4/1/2017,Reset,335,1,1,0,,335,,335,0,Hybrid,1,APR,335,2017,4
NON TESLA,BMW, 330E,BMW 330E,4/1/2017,Reset,260,1,1,0,,260,,260,0,Hybrid,1,APR,260,2017,4
NON TESLA,BMW, 530E,BMW 530E,4/1/2017,Reset,13,1,1,0,,13,,13,0,Hybrid,1,APR,13,2017,4
NON TESLA,VW, E-GOLF,VW E-GOLF,4/1/2017,Reset,307,1,1,0,,307,,307,0,Fully Electric,1,APR,307,2017,4
NON TESLA,AUDI, A3 SPORTBACK E-TRON,AUDI A3 SPORTBACK E-TRON,4/1/2017,Reset,301,1,1,0,,301,,301,0,Hybrid,1,APR,301,2017,4
