id,CAR.MAKE,CAR.MAKE.AND.MODEL,CAR.MODEL,Car.Type1,Month,Sales,Sales.Non.Tesla,Sales.Tesla,Year,Year.Month,Year.Month..copy.
596,HONDA,HONDA ACCORD PHV, ACCORD PHV,Hybrid,FEB,12,12,,2015,2/1/2015,2
597,OTHER,OTHER,,Hybrid,FEB,2,2,,2015,2/1/2015,2
598,TESLA,TESLA MODEL S, MODEL S,Fully Electric,FEB,1550,,1550,2016,2/1/2016,2
599,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,FEB,1126,1126,,2016,2/1/2016,2
600,TESLA,TESLA MODEL X, MODEL X,Fully Electric,FEB,270,,270,2016,2/1/2016,2
601,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,FEB,932,932,,2016,2/1/2016,2
602,NISSAN,NISSAN LEAF, LEAF,Fully Electric,FEB,930,930,,2016,2/1/2016,2
603,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,FEB,490,490,,2016,2/1/2016,2
604,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,FEB,248,248,,2016,2/1/2016,2
605,BMW,BMW X5 XDRIVE 40E, X5 XDRIVE 40E,Hybrid,FEB,345,345,,2016,2/1/2016,2
606,FIAT,FIAT 500E, 500E,Fully Electric,FEB,210,210,,2016,2/1/2016,2
607,AUDI,AUDI A3 SPORTBACK E-TRON, A3 SPORTBACK E-TRON,Hybrid,FEB,243,243,,2016,2/1/2016,2
608,VW,VW E-GOLF, E-GOLF,Fully Electric,FEB,198,198,,2016,2/1/2016,2
609,HYUNDAI,HYUNDAI SONATA PHV, SONATA PHV,Hybrid,FEB,200,200,,2016,2/1/2016,2
610,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,FEB,216,216,,2016,2/1/2016,2
611,PORSCHE,PORSCHE CAYENNE S-E, CAYENNE S-E,Hybrid,FEB,172,172,,2016,2/1/2016,2
612,VOLVO,VOLVO XC90, XC90,Hybrid,FEB,176,176,,2016,2/1/2016,2
613,KIA,KIA SOUL EV, SOUL EV,Fully Electric,FEB,60,60,,2016,2/1/2016,2
614,BMW,BMW I8, I8,Hybrid,FEB,54,54,,2016,2/1/2016,2
615,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,FEB,81,81,,2016,2/1/2016,2
616,SMART,SMART ED, ED,Fully Electric,FEB,54,54,,2016,2/1/2016,2
617,MERCEDES,MERCEDES B250E, B250E,Fully Electric,FEB,37,37,,2016,2/1/2016,2
618,MERCEDES,MERCEDES S550 PHV, S550 PHV,Fully Electric,FEB,36,36,,2016,2/1/2016,2
619,CADILLAC,CADILLAC ELR, ELR,Hybrid,FEB,91,91,,2016,2/1/2016,2
620,PORSCHE,PORSCHE PANAMERA S-E, PANAMERA S-E,Hybrid,FEB,33,33,,2016,2/1/2016,2
621,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,FEB,5,5,,2016,2/1/2016,2
622,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,FEB,6,6,,2016,2/1/2016,2
623,OTHER,OTHER,,Hybrid,FEB,0,0,,2016,2/1/2016,2
624,TESLA,TESLA MODEL S, MODEL S,Fully Electric,FEB,1750,,1750,2017,2/1/2017,2
625,CHEVROLET,CHEVROLET BOLT EV, BOLT EV,Fully Electric,FEB,952,952,,2017,2/1/2017,2
626,TESLA,TESLA MODEL X, MODEL X,Fully Electric,FEB,800,,800,2017,2/1/2017,2
627,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,FEB,1362,1362,,2017,2/1/2017,2
628,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,FEB,1820,1820,,2017,2/1/2017,2
629,NISSAN,NISSAN LEAF, LEAF,Fully Electric,FEB,1037,1037,,2017,2/1/2017,2
630,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,FEB,837,837,,2017,2/1/2017,2
631,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,FEB,639,639,,2017,2/1/2017,2
632,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,FEB,318,318,,2017,2/1/2017,2
633,FIAT,FIAT 500E, 500E,Fully Electric,FEB,590,590,,2017,2/1/2017,2
634,BMW,BMW X5 XDRIVE 40E, X5 XDRIVE 40E,Hybrid,FEB,275,275,,2017,2/1/2017,2
635,CHRYSLER,CHRYSLER PACIFICA HYBRID, PACIFICA HYBRID,Hybrid,FEB,0,0,,2017,2/1/2017,2
636,BMW,BMW 330E, 330E,Hybrid,FEB,144,144,,2017,2/1/2017,2
637,VW,VW E-GOLF, E-GOLF,Fully Electric,FEB,293,293,,2017,2/1/2017,2
638,AUDI,AUDI A3 SPORTBACK E-TRON, A3 SPORTBACK E-TRON,Hybrid,FEB,400,400,,2017,2/1/2017,2
639,HYUNDAI,HYUNDAI SONATA PHEV, SONATA PHEV,Hybrid,FEB,175,175,,2017,2/1/2017,2
640,VOLVO,VOLVO XC90 T8 PHEV, XC90 T8 PHEV,Hybrid,FEB,83,83,,2017,2/1/2017,2
641,KIA,KIA SOUL EV, SOUL EV,Fully Electric,FEB,152,152,,2017,2/1/2017,2
642,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,FEB,228,228,,2017,2/1/2017,2
643,PORSCHE,PORSCHE CAYENNE S-E, CAYENNE S-E,Hybrid,FEB,121,121,,2017,2/1/2017,2
644,KIA,KIA OPTIMA PHEV, OPTIMA PHEV,Hybrid,FEB,61,61,,2017,2/1/2017,2
645,MERCEDES,MERCEDES C350E, C350E,Hybrid,FEB,51,51,,2017,2/1/2017,2
646,MERCEDES,MERCEDES B250E, B250E,Fully Electric,FEB,56,56,,2017,2/1/2017,2
647,BMW,BMW 740E, 740E,Hybrid,FEB,35,35,,2017,2/1/2017,2
648,MERCEDES,MERCEDES S550E, S550E,Hybrid,FEB,51,51,,2017,2/1/2017,2
649,SMART,SMART ED, ED,Fully Electric,FEB,22,22,,2017,2/1/2017,2
650,BMW,BMW I8, I8,Hybrid,FEB,58,58,,2017,2/1/2017,2
651,MERCEDES,MERCEDES GLE 550E, GLE 550E,Hybrid,FEB,59,59,,2017,2/1/2017,2
652,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,FEB,4,4,,2017,2/1/2017,2
653,PORSCHE,PORSCHE PANAMERA E-HYBRID, PANAMERA E-HYBRID,Hybrid,FEB,1,1,,2017,2/1/2017,2
654,CADILLAC,CADILLAC ELR, ELR,Hybrid,FEB,0,0,,2017,2/1/2017,2
655,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,FEB,3,3,,2017,2/1/2017,2
656,TESLA,TESLA MODEL 3, MODEL 3,Fully Electric,FEB,2485,,2485,2018,2/1/2018,2
657,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,FEB,2050,2050,,2018,2/1/2018,2
658,TESLA,TESLA MODEL X, MODEL X,Fully Electric,FEB,975,,975,2018,2/1/2018,2
659,TESLA,TESLA MODEL S, MODEL S,Fully Electric,FEB,1125,,1125,2018,2/1/2018,2
660,HONDA,HONDA CLARITY PHEV, CLARITY PHEV,Hybrid,FEB,911,911,,2018,2/1/2018,2
661,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,FEB,983,983,,2018,2/1/2018,2
662,CHEVROLET,CHEVROLET BOLT EV, BOLT EV,Fully Electric,FEB,1424,1424,,2018,2/1/2018,2
663,NISSAN,NISSAN LEAF, LEAF,Fully Electric,FEB,895,895,,2018,2/1/2018,2
664,BMW,BMW 530E, 530E,Hybrid,FEB,413,413,,2018,2/1/2018,2
665,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,FEB,794,794,,2018,2/1/2018,2
666,CHRYSLER,CHRYSLER PACIFICA HYBRID, PACIFICA HYBRID,Hybrid,FEB,450,450,,2018,2/1/2018,2
667,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,FEB,623,623,,2018,2/1/2018,2
668,BMW,BMW X5 XDRIVE 40E, X5 XDRIVE 40E,Hybrid,FEB,596,596,,2018,2/1/2018,2
669,MITSUBISHI,MITSUBISHI OUTLANDER PHEV, OUTLANDER PHEV,Hybrid,FEB,323,323,,2018,2/1/2018,2
670,KIA,KIA NIRO PHEV, NIRO PHEV,Hybrid,FEB,246,246,,2018,2/1/2018,2
671,BMW,BMW 330E, 330E,Hybrid,FEB,142,142,,2018,2/1/2018,2
672,AUDI,AUDI A3 SPORTBACK E-TRON, A3 SPORTBACK E-TRON,Hybrid,FEB,199,199,,2018,2/1/2018,2
673,VOLVO,VOLVO XC60 PHEV, XC60 PHEV,Hybrid,FEB,155,155,,2018,2/1/2018,2
674,FIAT,FIAT 500E, 500E,Fully Electric,FEB,235,235,,2018,2/1/2018,2
675,PORSCHE,PORSCHE PANAMERA E-HYBRID, PANAMERA E-HYBRID,Hybrid,FEB,2,2,,2018,2/1/2018,2
676,MERCEDES,MERCEDES C350E, C350E,Hybrid,FEB,172,172,,2018,2/1/2018,2
677,HYUNDAI,HYUNDAI IONIQ PHEV, IONIQ PHEV,Hybrid,FEB,178,178,,2018,2/1/2018,2
678,MINI,MINI COUNTRYMAN SE PHEV, COUNTRYMAN SE PHEV,Hybrid,FEB,100,100,,2018,2/1/2018,2
679,VOLVO,VOLVO XC90 T8 PHEV, XC90 T8 PHEV,Hybrid,FEB,106,106,,2018,2/1/2018,2
680,VW,VW E-GOLF, E-GOLF,Fully Electric,FEB,198,198,,2018,2/1/2018,2
681,SMART,SMART ED, ED,Fully Electric,FEB,90,90,,2018,2/1/2018,2
682,KIA,KIA SOUL EV, SOUL EV,Fully Electric,FEB,163,163,,2018,2/1/2018,2
683,PORSCHE,PORSCHE CAYENNE S-E, CAYENNE S-E,Hybrid,FEB,121,121,,2018,2/1/2018,2
684,MERCEDES,MERCEDES GLE 550E, GLE 550E,Hybrid,FEB,70,70,,2018,2/1/2018,2
685,KIA,KIA OPTIMA PHEV, OPTIMA PHEV,Hybrid,FEB,103,103,,2018,2/1/2018,2
686,HONDA,HONDA CLARITY BEV, CLARITY BEV,Fully Electric,FEB,74,74,,2018,2/1/2018,2
687,BMW,BMW I8, I8,Hybrid,FEB,39,39,,2018,2/1/2018,2
688,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,FEB,142,142,,2018,2/1/2018,2
689,MERCEDES,MERCEDES GLC 350E, GLC 350E,Hybrid,FEB,5,5,,2018,2/1/2018,2
690,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,FEB,73,73,,2018,2/1/2018,2
691,HYUNDAI,HYUNDAI SONATA PHEV, SONATA PHEV,Hybrid,FEB,54,54,,2018,2/1/2018,2
692,VOLVO,VOLVO S90 T8 PHEV, S90 T8 PHEV,Hybrid,FEB,29,29,,2018,2/1/2018,2
693,HYUNDAI,HYUNDAI IONIQ EV, IONIQ EV,Fully Electric,FEB,3,3,,2018,2/1/2018,2
694,BMW,BMW 740E, 740E,Hybrid,FEB,23,23,,2018,2/1/2018,2
695,CADILLAC,CADILLAC CT6 PHEV, CT6 PHEV,Hybrid,FEB,24,24,,2018,2/1/2018,2
696,MERCEDES,MERCEDES B250E, B250E,Fully Electric,FEB,49,49,,2018,2/1/2018,2
697,MERCEDES,MERCEDES S550E, S550E,Hybrid,FEB,3,3,,2018,2/1/2018,2
698,TESLA,TESLA MODEL 3, MODEL 3,Fully Electric,FEB,5750,,5750,2019,2/1/2019,2
699,CHEVROLET,CHEVROLET BOLT EV, BOLT EV,Fully Electric,FEB,1225,1225,,2019,2/1/2019,2
700,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,FEB,1205,1205,,2019,2/1/2019,2
701,TESLA,TESLA MODEL X, MODEL X,Fully Electric,FEB,900,,900,2019,2/1/2019,2
702,HONDA,HONDA CLARITY PHEV, CLARITY PHEV,Hybrid,FEB,1213,1213,,2019,2/1/2019,2
703,TESLA,TESLA MODEL S, MODEL S,Fully Electric,FEB,625,,625,2019,2/1/2019,2
704,NISSAN,NISSAN LEAF, LEAF,Fully Electric,FEB,654,654,,2019,2/1/2019,2
705,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,FEB,615,615,,2019,2/1/2019,2
706,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,FEB,573,573,,2019,2/1/2019,2
707,CHRYSLER,CHRYSLER PACIFICA HYBRID, PACIFICA HYBRID,Hybrid,FEB,589,589,,2019,2/1/2019,2
708,BMW,BMW 530E, 530E,Hybrid,FEB,414,414,,2019,2/1/2019,2
709,KIA,KIA NIRO PHEV, NIRO PHEV,Hybrid,FEB,505,505,,2019,2/1/2019,2
710,BMW,BMW I3 (BEV + REX), I3 (BEV + REX),Fully Electric,FEB,350,350,,2019,2/1/2019,2
711,VOLKSWAGEN,VOLKSWAGEN E-GOLF, E-GOLF,Fully Electric,FEB,118,118,,2019,2/1/2019,2
712,MITSUBISHI,MITSUBISHI OUTLANDER PHEV, OUTLANDER PHEV,Hybrid,FEB,157,157,,2019,2/1/2019,2
713,BMW,BMW 330E, 330E,Hybrid,FEB,185,185,,2019,2/1/2019,2
714,JAGUAR,JAGUAR I-PACE, I-PACE,Fully Electric,FEB,186,186,,2019,2/1/2019,2
715,PORSCHE,PORSCHE PANAMERA E-HYBRID, PANAMERA E-HYBRID,Hybrid,FEB,160,160,,2019,2/1/2019,2
716,AUDI,AUDI A3 SPORTBACK E-TRON, A3 SPORTBACK E-TRON,Hybrid,FEB,210,210,,2019,2/1/2019,2
717,MERCEDES,MERCEDES C350E, C350E,Hybrid,FEB,145,145,,2019,2/1/2019,2
718,VOLVO,VOLVO XC90 T8 PHEV, XC90 T8 PHEV,Hybrid,FEB,105,105,,2019,2/1/2019,2
719,MERCEDES,MERCEDES GLC 350E, GLC 350E,Hybrid,FEB,72,72,,2019,2/1/2019,2
720,VOLVO,VOLVO XC60 PHEV, XC60 PHEV,Hybrid,FEB,100,100,,2019,2/1/2019,2
721,MERCEDES,MERCEDES GLE 550E, GLE 550E,Hybrid,FEB,95,95,,2019,2/1/2019,2
722,PORSCHE,PORSCHE CAYENNE S-E, CAYENNE S-E,Hybrid,FEB,95,95,,2019,2/1/2019,2
723,HONDA,HONDA CLARITY BEV, CLARITY BEV,Fully Electric,FEB,68,68,,2019,2/1/2019,2
724,SMART,SMART ED, ED,Fully Electric,FEB,58,58,,2019,2/1/2019,2
725,HYUNDAI,HYUNDAI IONIQ PHEV, IONIQ PHEV,Hybrid,FEB,54,54,,2019,2/1/2019,2
726,FIAT,FIAT 500E, 500E,Fully Electric,FEB,87,87,,2019,2/1/2019,2
727,BMW,BMW I8, I8,Hybrid,FEB,47,47,,2019,2/1/2019,2
728,MINI,MINI COUNTRYMAN SE PHEV, COUNTRYMAN SE PHEV,Hybrid,FEB,63,63,,2019,2/1/2019,2
729,HYUNDAI,HYUNDAI KONA ELECTRIC, KONA ELECTRIC,Fully Electric,FEB,16,16,,2019,2/1/2019,2
730,BMW,BMW X5 XDRIVE 40E, X5 XDRIVE 40E,Hybrid,FEB,38,38,,2019,2/1/2019,2
731,VOLVO,VOLVO S90 T8 PHEV, S90 T8 PHEV,Hybrid,FEB,45,45,,2019,2/1/2019,2
732,HYUNDAI,HYUNDAI IONIQ EV, IONIQ EV,Fully Electric,FEB,32,32,,2019,2/1/2019,2
733,HYUNDAI,HYUNDAI SONATA PHEV, SONATA PHEV,Hybrid,FEB,71,71,,2019,2/1/2019,2
734,KIA,KIA OPTIMA PHEV, OPTIMA PHEV,Hybrid,FEB,11,11,,2019,2/1/2019,2
735,MERCEDES,MERCEDES S550E, S550E,Hybrid,FEB,10,10,,2019,2/1/2019,2
736,BMW,BMW 740E, 740E,Hybrid,FEB,14,14,,2019,2/1/2019,2
737,CADILLAC,CADILLAC CT6 PHEV, CT6 PHEV,Hybrid,FEB,1,1,,2019,2/1/2019,2
738,MERCEDES,MERCEDES B250E, B250E,Fully Electric,FEB,2,2,,2019,2/1/2019,2
739,KIA,KIA SOUL EV, SOUL EV,Fully Electric,FEB,1,1,,2019,2/1/2019,2
740,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,JAN,321,321,,2011,1/1/2011,1
741,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JAN,87,87,,2011,1/1/2011,1
742,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,JAN,603,603,,2012,1/1/2012,1
743,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JAN,676,676,,2012,1/1/2012,1
744,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JAN,2,2,,2012,1/1/2012,1
745,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JAN,36,36,,2012,1/1/2012,1
746,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,JAN,1140,1140,,2013,1/1/2013,1
747,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JAN,650,650,,2013,1/1/2013,1
748,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JAN,1200,,1200,2013,1/1/2013,1
749,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,JAN,874,874,,2013,1/1/2013,1
750,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,JAN,338,338,,2013,1/1/2013,1
751,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,JAN,0,0,,2013,1/1/2013,1
752,FIAT,FIAT 500E, 500E,Fully Electric,JAN,0,0,,2013,1/1/2013,1
753,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JAN,81,81,,2013,1/1/2013,1
754,TOYOTA,TOYOTA RAV4 EV, RAV4 EV,Hybrid,JAN,25,25,,2013,1/1/2013,1
755,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JAN,257,257,,2013,1/1/2013,1
756,SMART,SMART ED, ED,Fully Electric,JAN,2,2,,2013,1/1/2013,1
757,HONDA,HONDA FIT EV, FIT EV,Fully Electric,JAN,8,8,,2013,1/1/2013,1
758,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,JAN,0,0,,2013,1/1/2013,1
759,HONDA,HONDA ACCORD PHV, ACCORD PHV,Hybrid,JAN,2,2,,2013,1/1/2013,1
760,PORSCHE,PORSCHE PANAMERA S-E, PANAMERA S-E,Hybrid,JAN,0,0,,2013,1/1/2013,1
761,CADILLAC,CADILLAC ELR, ELR,Hybrid,JAN,0,0,,2013,1/1/2013,1
762,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JAN,1252,1252,,2014,1/1/2014,1
763,CHEVROLET,CHEVROLET VOLT, VOLT,Hybrid,JAN,918,918,,2014,1/1/2014,1
764,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JAN,800,,800,2014,1/1/2014,1
765,TOYOTA,TOYOTA PRIUS PRIME, PRIUS PRIME,Hybrid,JAN,803,803,,2014,1/1/2014,1
766,FORD,FORD FUSION ENERGI, FUSION ENERGI,Hybrid,JAN,533,533,,2014,1/1/2014,1
767,FORD,FORD C-MAX ENERGI, C-MAX ENERGI,Hybrid,JAN,471,471,,2014,1/1/2014,1
768,FIAT,FIAT 500E, 500E,Fully Electric,JAN,310,310,,2014,1/1/2014,1
769,SMART,SMART ED, ED,Fully Electric,JAN,97,97,,2014,1/1/2014,1
770,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JAN,100,100,,2014,1/1/2014,1
771,CADILLAC,CADILLAC ELR, ELR,Hybrid,JAN,41,41,,2014,1/1/2014,1
772,TOYOTA,TOYOTA RAV4 EV, RAV4 EV,Hybrid,JAN,63,63,,2014,1/1/2014,1
773,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,JAN,93,93,,2014,1/1/2014,1
774,PORSCHE,PORSCHE PANAMERA S-E, PANAMERA S-E,Hybrid,JAN,141,141,,2014,1/1/2014,1
775,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JUL,931,931,,2011,7/1/2011,7
776,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JUN,1708,1708,,2011,6/1/2011,6
777,NISSAN,NISSAN LEAF, LEAF,Fully Electric,MAR,298,298,,2011,3/1/2011,3
778,NISSAN,NISSAN LEAF, LEAF,Fully Electric,MAY,1142,1142,,2011,5/1/2011,5
779,NISSAN,NISSAN LEAF, LEAF,Fully Electric,NOV,672,672,,2011,11/1/2011,11
780,NISSAN,NISSAN LEAF, LEAF,Fully Electric,OCT,849,849,,2011,10/1/2011,10
781,NISSAN,NISSAN LEAF, LEAF,Fully Electric,SEP,1031,1031,,2011,9/1/2011,9
782,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JUL,38,38,,2012,7/1/2012,7
783,HONDA,HONDA FIT EV, FIT EV,Fully Electric,JUL,7,7,,2012,7/1/2012,7
784,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JUL,33,33,,2012,7/1/2012,7
785,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JUL,395,395,,2012,7/1/2012,7
786,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JUL,19,,19,2012,7/1/2012,7
787,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JUN,89,89,,2012,6/1/2012,6
788,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JUN,33,33,,2012,6/1/2012,6
789,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JUN,535,535,,2012,6/1/2012,6
790,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JUN,12,,12,2012,6/1/2012,6
791,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,MAR,56,56,,2012,3/1/2012,3
792,NISSAN,NISSAN LEAF, LEAF,Fully Electric,MAR,579,579,,2012,3/1/2012,3
793,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,MAY,6,6,,2012,5/1/2012,5
794,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,MAY,85,85,,2012,5/1/2012,5
795,NISSAN,NISSAN LEAF, LEAF,Fully Electric,MAY,510,510,,2012,5/1/2012,5
796,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,NOV,172,172,,2012,11/1/2012,11
797,HONDA,HONDA FIT EV, FIT EV,Fully Electric,NOV,26,26,,2012,11/1/2012,11
798,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,NOV,42,42,,2012,11/1/2012,11
799,NISSAN,NISSAN LEAF, LEAF,Fully Electric,NOV,1539,1539,,2012,11/1/2012,11
800,TESLA,TESLA MODEL S, MODEL S,Fully Electric,NOV,400,,400,2012,11/1/2012,11
801,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,OCT,118,118,,2012,10/1/2012,10
802,HONDA,HONDA FIT EV, FIT EV,Fully Electric,OCT,16,16,,2012,10/1/2012,10
803,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,OCT,30,30,,2012,10/1/2012,10
804,NISSAN,NISSAN LEAF, LEAF,Fully Electric,OCT,1579,1579,,2012,10/1/2012,10
805,TESLA,TESLA MODEL S, MODEL S,Fully Electric,OCT,300,,300,2012,10/1/2012,10
806,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,SEP,59,59,,2012,9/1/2012,9
807,HONDA,HONDA FIT EV, FIT EV,Fully Electric,SEP,16,16,,2012,9/1/2012,9
808,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,SEP,36,36,,2012,9/1/2012,9
809,NISSAN,NISSAN LEAF, LEAF,Fully Electric,SEP,984,984,,2012,9/1/2012,9
810,TESLA,TESLA MODEL S, MODEL S,Fully Electric,SEP,86,,86,2012,9/1/2012,9
811,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,JUL,103,103,,2013,7/1/2013,7
812,FIAT,FIAT 500E, 500E,Fully Electric,JUL,200,200,,2013,7/1/2013,7
813,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JUL,150,150,,2013,7/1/2013,7
814,HONDA,HONDA FIT EV, FIT EV,Fully Electric,JUL,63,63,,2013,7/1/2013,7
815,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JUL,46,46,,2013,7/1/2013,7
816,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JUL,1864,1864,,2013,7/1/2013,7
817,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JUL,1300,,1300,2013,7/1/2013,7
818,SMART,SMART ED, ED,Fully Electric,JUL,58,58,,2013,7/1/2013,7
819,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,JUN,27,27,,2013,6/1/2013,6
820,FIAT,FIAT 500E, 500E,Fully Electric,JUN,0,0,,2013,6/1/2013,6
821,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,JUN,177,177,,2013,6/1/2013,6
822,HONDA,HONDA FIT EV, FIT EV,Fully Electric,JUN,208,208,,2013,6/1/2013,6
823,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,JUN,39,39,,2013,6/1/2013,6
824,NISSAN,NISSAN LEAF, LEAF,Fully Electric,JUN,2225,2225,,2013,6/1/2013,6
825,TESLA,TESLA MODEL S, MODEL S,Fully Electric,JUN,1350,,1350,2013,6/1/2013,6
826,SMART,SMART ED, ED,Fully Electric,JUN,53,53,,2013,6/1/2013,6
827,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,MAR,0,0,,2013,3/1/2013,3
828,FIAT,FIAT 500E, 500E,Fully Electric,MAR,0,0,,2013,3/1/2013,3
829,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,MAR,180,180,,2013,3/1/2013,3
830,HONDA,HONDA FIT EV, FIT EV,Fully Electric,MAR,23,23,,2013,3/1/2013,3
831,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,MAR,31,31,,2013,3/1/2013,3
832,NISSAN,NISSAN LEAF, LEAF,Fully Electric,MAR,2236,2236,,2013,3/1/2013,3
833,TESLA,TESLA MODEL S, MODEL S,Fully Electric,MAR,2300,,2300,2013,3/1/2013,3
834,SMART,SMART ED, ED,Fully Electric,MAR,0,0,,2013,3/1/2013,3
835,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,MAY,0,0,,2013,5/1/2013,5
836,FIAT,FIAT 500E, 500E,Fully Electric,MAY,0,0,,2013,5/1/2013,5
837,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,MAY,157,157,,2013,5/1/2013,5
838,HONDA,HONDA FIT EV, FIT EV,Fully Electric,MAY,15,15,,2013,5/1/2013,5
839,MITSUBISHI,MITSUBISHI I-MIEV, I-MIEV,Fully Electric,MAY,91,91,,2013,5/1/2013,5
840,NISSAN,NISSAN LEAF, LEAF,Fully Electric,MAY,2138,2138,,2013,5/1/2013,5
841,TESLA,TESLA MODEL S, MODEL S,Fully Electric,MAY,1700,,1700,2013,5/1/2013,5
842,SMART,SMART ED, ED,Fully Electric,MAY,60,60,,2013,5/1/2013,5
843,CHEVROLET,CHEVROLET SPARK EV, SPARK EV,Fully Electric,NOV,87,87,,2013,11/1/2013,11
844,FIAT,FIAT 500E, 500E,Fully Electric,NOV,430,430,,2013,11/1/2013,11
845,FORD,FORD FOCUS ELECTRIC, FOCUS ELECTRIC,Fully Electric,NOV,130,130,,2013,11/1/2013,11
